id,PM10,pora_dnia,lc_code,lc_name
157,5.009767441860465,"[0,8)",1,Agricultural areas
157,4.913288590604027,"[8,16)",1,Agricultural areas
157,5.629583333333334,"[16,24]",1,Agricultural areas
94,44.025,"[0,8)",1,Agricultural areas
94,43.15077922077922,"[8,16)",1,Agricultural areas
94,52.75225,"[16,24]",1,Agricultural areas
190,33.761842105263156,"[0,8)",1,Agricultural areas
190,33.56720779220779,"[8,16)",1,Agricultural areas
190,41.3865,"[16,24]",1,Agricultural areas
187,31.343809523809522,"[0,8)",2,Artificial surfaces
187,30.685548387096773,"[8,16)",2,Artificial surfaces
187,36.28041666666667,"[16,24]",2,Artificial surfaces
109,30.03906976744186,"[0,8)",2,Artificial surfaces
109,30.075833333333332,"[8,16)",2,Artificial surfaces
109,38.635,"[16,24]",2,Artificial surfaces
160,29.895714285714284,"[0,8)",1,Agricultural areas
160,32.74673333333333,"[8,16)",1,Agricultural areas
160,40.079166666666666,"[16,24]",1,Agricultural areas
105,50.40880952380952,"[0,8)",1,Agricultural areas
105,54.834117647058825,"[8,16)",1,Agricultural areas
105,65.28941666666667,"[16,24]",1,Agricultural areas
169,29.56904761904762,"[0,8)",2,Artificial surfaces
169,28.008333333333333,"[8,16)",2,Artificial surfaces
169,27.7915,"[16,24]",2,Artificial surfaces
173,33.87512195121951,"[0,8)",2,Artificial surfaces
173,36.80490196078431,"[8,16)",2,Artificial surfaces
173,44.24336134453782,"[16,24]",2,Artificial surfaces
97,28.38475,"[0,8)",1,Agricultural areas
97,32.1275,"[8,16)",1,Agricultural areas
97,37.26983333333333,"[16,24]",1,Agricultural areas
195,41.1135,"[0,8)",2,Artificial surfaces
195,40.56354838709677,"[8,16)",2,Artificial surfaces
195,49.2385,"[16,24]",2,Artificial surfaces
73,31.41095238095238,"[0,8)",2,Artificial surfaces
73,33.72343949044586,"[8,16)",2,Artificial surfaces
73,42.281416666666665,"[16,24]",2,Artificial surfaces
163,35.7435,"[0,8)",2,Artificial surfaces
163,36.48590909090909,"[8,16)",2,Artificial surfaces
163,45.25183333333333,"[16,24]",2,Artificial surfaces
126,26.63375,"[0,8)",2,Artificial surfaces
126,27.38922077922078,"[8,16)",2,Artificial surfaces
126,34.060833333333335,"[16,24]",2,Artificial surfaces
110,28.436976744186047,"[0,8)",2,Artificial surfaces
110,31.109155844155843,"[8,16)",2,Artificial surfaces
110,39.22591666666667,"[16,24]",2,Artificial surfaces
145,34.49875,"[0,8)",2,Artificial surfaces
145,38.94516339869281,"[8,16)",2,Artificial surfaces
145,50.2985,"[16,24]",2,Artificial surfaces
95,29.643076923076922,"[0,8)",2,Artificial surfaces
95,31.44258064516129,"[8,16)",2,Artificial surfaces
95,38.07083333333333,"[16,24]",2,Artificial surfaces
189,33.321463414634145,"[0,8)",1,Agricultural areas
189,34.257290322580644,"[8,16)",1,Agricultural areas
189,40.708991596638654,"[16,24]",1,Agricultural areas
44,25.490263157894738,"[0,8)",1,Agricultural areas
44,26.71464052287582,"[8,16)",1,Agricultural areas
44,33.41858333333333,"[16,24]",1,Agricultural areas
51,42.14463414634146,"[0,8)",1,Agricultural areas
51,42.631103896103895,"[8,16)",1,Agricultural areas
51,54.42733333333334,"[16,24]",1,Agricultural areas
139,25.704761904761906,"[0,8)",2,Artificial surfaces
139,22.871688311688313,"[8,16)",2,Artificial surfaces
139,29.287563025210083,"[16,24]",2,Artificial surfaces
92,46.56146341463415,"[0,8)",1,Agricultural areas
92,46.189473684210526,"[8,16)",1,Agricultural areas
92,57.38475,"[16,24]",1,Agricultural areas
52,42.46973684210526,"[0,8)",2,Artificial surfaces
52,39.227628205128205,"[8,16)",2,Artificial surfaces
52,44.98075,"[16,24]",2,Artificial surfaces
188,35.276666666666664,"[0,8)",2,Artificial surfaces
188,42.66532110091743,"[8,16)",2,Artificial surfaces
188,52.821222222222225,"[16,24]",2,Artificial surfaces
159,33.2795,"[0,8)",2,Artificial surfaces
159,32.57333333333333,"[8,16)",2,Artificial surfaces
159,38.09108333333333,"[16,24]",2,Artificial surfaces
141,5.393414634146342,"[0,8)",2,Artificial surfaces
141,7.509155844155845,"[8,16)",2,Artificial surfaces
141,9.009915966386554,"[16,24]",2,Artificial surfaces
144,45.85525,"[0,8)",1,Agricultural areas
144,44.39134615384616,"[8,16)",1,Agricultural areas
144,44.032583333333335,"[16,24]",1,Agricultural areas
176,32.63634146341463,"[0,8)",2,Artificial surfaces
176,36.38941935483871,"[8,16)",2,Artificial surfaces
176,45.10016666666667,"[16,24]",2,Artificial surfaces
152,40.115,"[0,8)",2,Artificial surfaces
152,41.17311688311688,"[8,16)",2,Artificial surfaces
152,49.81908333333333,"[16,24]",2,Artificial surfaces
181,34.22238095238095,"[0,8)",1,Agricultural areas
181,33.18045751633987,"[8,16)",1,Agricultural areas
181,42.30525,"[16,24]",1,Agricultural areas
147,30.838809523809523,"[0,8)",1,Agricultural areas
147,30.231217948717948,"[8,16)",1,Agricultural areas
147,37.780672268907566,"[16,24]",1,Agricultural areas
179,44.516190476190474,"[0,8)",1,Agricultural areas
179,30.888169934640523,"[8,16)",1,Agricultural areas
179,35.028999999999996,"[16,24]",1,Agricultural areas
172,31.636190476190475,"[0,8)",2,Artificial surfaces
172,33.00860927152318,"[8,16)",2,Artificial surfaces
172,39.39833333333333,"[16,24]",2,Artificial surfaces
64,30.26048780487805,"[0,8)",2,Artificial surfaces
64,32.808181818181815,"[8,16)",2,Artificial surfaces
64,48.313833333333335,"[16,24]",2,Artificial surfaces
118,55.06414634146341,"[0,8)",1,Agricultural areas
118,43.76083333333333,"[8,16)",1,Agricultural areas
118,58.64383333333333,"[16,24]",1,Agricultural areas
148,33.526,"[0,8)",2,Artificial surfaces
148,34.63066666666667,"[8,16)",2,Artificial surfaces
148,49.66266666666667,"[16,24]",2,Artificial surfaces
142,34.52307692307692,"[0,8)",2,Artificial surfaces
142,38.199171974522294,"[8,16)",2,Artificial surfaces
142,46.41408333333333,"[16,24]",2,Artificial surfaces
128,31.265,"[0,8)",1,Agricultural areas
128,35.726410256410254,"[8,16)",1,Agricultural areas
128,41.92633333333333,"[16,24]",1,Agricultural areas
146,30.20780487804878,"[0,8)",2,Artificial surfaces
146,31.840445859872613,"[8,16)",2,Artificial surfaces
146,39.21841666666667,"[16,24]",2,Artificial surfaces
149,33.680263157894736,"[0,8)",2,Artificial surfaces
149,36.333694267515924,"[8,16)",2,Artificial surfaces
149,46.19725,"[16,24]",2,Artificial surfaces
125,37.75425,"[0,8)",2,Artificial surfaces
125,34.87337662337662,"[8,16)",2,Artificial surfaces
125,40.18134453781513,"[16,24]",2,Artificial surfaces
199,16.50512195121951,"[0,8)",2,Artificial surfaces
199,18.47607843137255,"[8,16)",2,Artificial surfaces
199,25.088583333333332,"[16,24]",2,Artificial surfaces
178,1,"[0,8)",2,Artificial surfaces
178,1,"[8,16)",2,Artificial surfaces
178,1,"[16,24]",2,Artificial surfaces
194,43.085641025641024,"[0,8)",2,Artificial surfaces
194,49.69343949044586,"[8,16)",2,Artificial surfaces
194,64.727,"[16,24]",2,Artificial surfaces
198,33.10275,"[0,8)",2,Artificial surfaces
198,38.02483660130719,"[8,16)",2,Artificial surfaces
198,52.519,"[16,24]",2,Artificial surfaces
117,33.524358974358975,"[0,8)",2,Artificial surfaces
117,35.17339869281046,"[8,16)",2,Artificial surfaces
117,44.636218487394956,"[16,24]",2,Artificial surfaces
171,28.493333333333332,"[0,8)",1,Agricultural areas
171,29.54081081081081,"[8,16)",1,Agricultural areas
171,37.602808988764046,"[16,24]",1,Agricultural areas
143,46.55146341463414,"[0,8)",1,Agricultural areas
143,50.44477419354839,"[8,16)",1,Agricultural areas
143,63.235416666666666,"[16,24]",1,Agricultural areas
193,17.695813953488372,"[0,8)",1,Agricultural areas
193,20.283815789473685,"[8,16)",1,Agricultural areas
193,24.75747899159664,"[16,24]",1,Agricultural areas
162,32.06725,"[0,8)",1,Agricultural areas
162,32.029802631578946,"[8,16)",1,Agricultural areas
162,39.922991452991454,"[16,24]",1,Agricultural areas
153,43.567142857142855,"[0,8)",2,Artificial surfaces
153,43.95103896103896,"[8,16)",2,Artificial surfaces
153,51.413833333333336,"[16,24]",2,Artificial surfaces
150,37.405454545454546,"[0,8)",2,Artificial surfaces
150,36.61655844155844,"[8,16)",2,Artificial surfaces
150,56.13764705882353,"[16,24]",2,Artificial surfaces
186,49.82857142857143,"[0,8)",2,Artificial surfaces
186,43.398662420382166,"[8,16)",2,Artificial surfaces
186,59.73302521008404,"[16,24]",2,Artificial surfaces
185,38.35975,"[0,8)",1,Agricultural areas
185,36.55051612903226,"[8,16)",1,Agricultural areas
185,51.75436974789916,"[16,24]",1,Agricultural areas
175,28.506190476190476,"[0,8)",2,Artificial surfaces
175,35.5025641025641,"[8,16)",2,Artificial surfaces
175,40.69798319327731,"[16,24]",2,Artificial surfaces
89,39.69658536585366,"[0,8)",2,Artificial surfaces
89,36.853096774193546,"[8,16)",2,Artificial surfaces
89,46.700833333333335,"[16,24]",2,Artificial surfaces
124,34.49878048780488,"[0,8)",2,Artificial surfaces
124,39.39450980392157,"[8,16)",2,Artificial surfaces
124,47.17358333333333,"[16,24]",2,Artificial surfaces
161,34.130714285714284,"[0,8)",1,Agricultural areas
161,33.03423076923077,"[8,16)",1,Agricultural areas
161,41.434,"[16,24]",1,Agricultural areas
164,32.698292682926834,"[0,8)",2,Artificial surfaces
164,28.199935064935065,"[8,16)",2,Artificial surfaces
164,39.496,"[16,24]",2,Artificial surfaces
177,49.16219512195122,"[0,8)",2,Artificial surfaces
177,52.43812903225806,"[8,16)",2,Artificial surfaces
177,59.479083333333335,"[16,24]",2,Artificial surfaces
180,40.57525,"[0,8)",2,Artificial surfaces
180,42.46371794871795,"[8,16)",2,Artificial surfaces
180,48.75333333333333,"[16,24]",2,Artificial surfaces
165,35.9,"[0,8)",2,Artificial surfaces
165,35.370516129032254,"[8,16)",2,Artificial surfaces
165,34.604745762711865,"[16,24]",2,Artificial surfaces
132,8.085384615384616,"[0,8)",2,Artificial surfaces
132,9.776645161290322,"[8,16)",2,Artificial surfaces
132,10.965210084033613,"[16,24]",2,Artificial surfaces
114,33.449285714285715,"[0,8)",2,Artificial surfaces
114,31.0364,"[8,16)",2,Artificial surfaces
114,37.11475,"[16,24]",2,Artificial surfaces
120,45.96875,"[0,8)",2,Artificial surfaces
120,47.22139072847682,"[8,16)",2,Artificial surfaces
120,56.51857142857143,"[16,24]",2,Artificial surfaces
131,33.24205128205128,"[0,8)",2,Artificial surfaces
131,37.77513157894737,"[8,16)",2,Artificial surfaces
131,43.62415254237288,"[16,24]",2,Artificial surfaces
192,40.800975609756094,"[0,8)",1,Agricultural areas
192,31.52124183006536,"[8,16)",1,Agricultural areas
192,34.34016666666667,"[16,24]",1,Agricultural areas
76,30.08279069767442,"[0,8)",2,Artificial surfaces
76,35.17532894736842,"[8,16)",2,Artificial surfaces
76,44.42325,"[16,24]",2,Artificial surfaces
102,25.4246511627907,"[0,8)",1,Agricultural areas
102,32.4503821656051,"[8,16)",1,Agricultural areas
102,37.87675,"[16,24]",1,Agricultural areas
155,28.945853658536585,"[0,8)",2,Artificial surfaces
155,31.569935064935066,"[8,16)",2,Artificial surfaces
155,39.880916666666664,"[16,24]",2,Artificial surfaces
156,29.99095238095238,"[0,8)",2,Artificial surfaces
156,36.211633986928106,"[8,16)",2,Artificial surfaces
156,43.57575,"[16,24]",2,Artificial surfaces
80,35.08571428571429,"[0,8)",2,Artificial surfaces
80,36.43114649681529,"[8,16)",2,Artificial surfaces
80,44.72833333333333,"[16,24]",2,Artificial surfaces
103,32.26325,"[0,8)",2,Artificial surfaces
103,32.78535483870968,"[8,16)",2,Artificial surfaces
103,40.114583333333336,"[16,24]",2,Artificial surfaces
31,25.01404761904762,"[0,8)",2,Artificial surfaces
31,29.00294871794872,"[8,16)",2,Artificial surfaces
31,34.50566666666666,"[16,24]",2,Artificial surfaces
98,34.14365853658536,"[0,8)",2,Artificial surfaces
98,37.20847133757962,"[8,16)",2,Artificial surfaces
98,44.939416666666666,"[16,24]",2,Artificial surfaces
3,30.90809523809524,"[0,8)",2,Artificial surfaces
3,32.748141025641026,"[8,16)",2,Artificial surfaces
3,38.049416666666666,"[16,24]",2,Artificial surfaces
12,41.35048780487805,"[0,8)",2,Artificial surfaces
12,43.01070512820513,"[8,16)",2,Artificial surfaces
12,49.13158333333333,"[16,24]",2,Artificial surfaces
18,30.92951219512195,"[0,8)",2,Artificial surfaces
18,31.744709677419355,"[8,16)",2,Artificial surfaces
18,37.235166666666665,"[16,24]",2,Artificial surfaces
20,35.298205128205126,"[0,8)",2,Artificial surfaces
20,37.39626582278481,"[8,16)",2,Artificial surfaces
20,43.081916666666665,"[16,24]",2,Artificial surfaces
135,28.294878048780486,"[0,8)",2,Artificial surfaces
135,31.94141935483871,"[8,16)",2,Artificial surfaces
135,40.61475,"[16,24]",2,Artificial surfaces
84,24.327906976744185,"[0,8)",2,Artificial surfaces
84,28.75709677419355,"[8,16)",2,Artificial surfaces
84,32.684285714285714,"[16,24]",2,Artificial surfaces
16,25.655,"[0,8)",2,Artificial surfaces
16,29.48205128205128,"[8,16)",2,Artificial surfaces
16,32.99436974789916,"[16,24]",2,Artificial surfaces
11,32.39073170731707,"[0,8)",2,Artificial surfaces
11,34.29714285714286,"[8,16)",2,Artificial surfaces
11,44.35773109243697,"[16,24]",2,Artificial surfaces
59,29.271463414634145,"[0,8)",2,Artificial surfaces
59,32.05044871794872,"[8,16)",2,Artificial surfaces
59,37.70890756302521,"[16,24]",2,Artificial surfaces
62,31.606666666666666,"[0,8)",2,Artificial surfaces
62,27.702792207792207,"[8,16)",2,Artificial surfaces
62,30.067,"[16,24]",2,Artificial surfaces
28,36.398809523809526,"[0,8)",2,Artificial surfaces
28,38.61322580645161,"[8,16)",2,Artificial surfaces
28,45.380583333333334,"[16,24]",2,Artificial surfaces
29,40.30880952380952,"[0,8)",2,Artificial surfaces
29,42.39551282051282,"[8,16)",2,Artificial surfaces
29,49.00633333333333,"[16,24]",2,Artificial surfaces
63,31.09075,"[0,8)",2,Artificial surfaces
63,33.593312101910826,"[8,16)",2,Artificial surfaces
63,38.37866666666667,"[16,24]",2,Artificial surfaces
66,23.15780487804878,"[0,8)",2,Artificial surfaces
66,26.973032258064517,"[8,16)",2,Artificial surfaces
66,31.592,"[16,24]",2,Artificial surfaces
72,32.23023809523809,"[0,8)",2,Artificial surfaces
72,35.16856209150327,"[8,16)",2,Artificial surfaces
72,40.96625,"[16,24]",2,Artificial surfaces
10,27.078,"[0,8)",2,Artificial surfaces
10,26.130933333333335,"[8,16)",2,Artificial surfaces
10,35.522666666666666,"[16,24]",2,Artificial surfaces
23,41.86048780487805,"[0,8)",2,Artificial surfaces
23,41.10314102564102,"[8,16)",2,Artificial surfaces
23,53.430166666666665,"[16,24]",2,Artificial surfaces
99,29.707857142857144,"[0,8)",2,Artificial surfaces
99,33.33487341772152,"[8,16)",2,Artificial surfaces
99,37.88453781512605,"[16,24]",2,Artificial surfaces
70,29.633658536585365,"[0,8)",2,Artificial surfaces
70,31.633766233766234,"[8,16)",2,Artificial surfaces
70,37.05235294117647,"[16,24]",2,Artificial surfaces
41,35.2325,"[0,8)",2,Artificial surfaces
41,36.45542857142857,"[8,16)",2,Artificial surfaces
41,44.27425925925926,"[16,24]",2,Artificial surfaces
83,25.051190476190477,"[0,8)",2,Artificial surfaces
83,27.16,"[8,16)",2,Artificial surfaces
83,32.79423728813559,"[16,24]",2,Artificial surfaces
53,26.459761904761905,"[0,8)",2,Artificial surfaces
53,27.416193548387096,"[8,16)",2,Artificial surfaces
53,36.83325,"[16,24]",2,Artificial surfaces
6,25.069,"[0,8)",1,Agricultural areas
6,25.832236842105264,"[8,16)",1,Agricultural areas
